AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
UA,,N454UA,PBI,IAH,146,956,0
UA,,N462UA,PHX,IAH,118,1009,0
UA,,N464UA,RSW,IAH,133,861,0
UA,,N498UA,EWR,MCO,135,937,0
UA,,N415UA,OMA,ORD,57,416,0
US,,N544UW,SMF,PHX,90,647,0
US,,N654AW,OAK,PHX,88,646,0
US,,N708UW,PVD,CLT,114,683,0
UA,,N847UA,RNO,,120,804,0
UA,,N831UA,PIT,,175,1117,0
UA,,N68807,DEN,,114,862,0
WN,,N486WN,BOS,,63,369,0
WN,,N293WN,LAS,,230,2106,0
WN,,N249WN,ABQ,,103,759,0
WN,,N630WN,PHX,,76,507,0
WN,,N910WN,PIT,FLL,132,994,0
WN,,N8641B,PVD,BWI,63,327,0
WN,,N768SW,SFO,ATL,253,2139,0
UA,,N73445,SFO,ORD,222,1846,0
UA,,N24224,MCO,EWR,126,937,0
UA,,N68822,PDX,IAH,224,1825,0
,,N38451,BOS,ORD,146,867,0
,,N87531,SFO,LAX,52,337,0
,1296,N37471,SAT,LAX,170,1211,0
,1431,N36207,BOS,LAX,376,2611,0
UA,1637,N33294,SEA,EWR,268,2402,0
UA,1735,N66814,LAX,ORD,201,1744,0
US,410,N765US,IAH,PHX,155,1009,0
US,459,N536UW,MCO,PHX,273,1849,0
US,610,N560UW,SFO,PHX,87,651,0
AA,72,N5EKAA,DFW,MCO,120,985,0
AA,196,N3FBAA,MIA,PHL,148,1013,0
AA,304,N4XHAA,SLC,DFW,137,989,0
AA,175,N3EWAA,DCA,DFW,,1192,1
AA,281,N3FXAA,MIA,DFW,166,1121,0
AA,233,N3BEAA,BWI,MIA,124,946,0
AA,1100,N3GWAA,DFW,LGA,154,1389,0
AA,1103,N3HCAA,LGA,DFW,,1389,1
AA,1028,N3BFAA,DEN,ORD,106,888,0
AA,1039,N541AA,MCI,DFW,80,460,0
AA,1055,N573AA,MCO,DFW,,985,1
AA,1180,N3AYAA,SFO,DFW,,1464,1
AA,1345,N439AA,TUL,DFW,48,237,0
AA,1297,N3JYAA,LGA,MIA,151,1096,0
AA,1411,N585AA,LIT,DFW,56,304,0
AA,1084,N3GFAA,MIA,LGA,149,1096,0
AA,1088,N201AA,LAS,DFW,128,1055,0
AA,1534,N4YPAA,PDX,DFW,206,1616,0
AA,1573,N467AA,TPA,DFW,139,929,0
AA,1660,N567AA,SMF,DFW,190,1431,0
AA,2204,N3GKAA,MSY,MIA,82,675,0
AA,1515,N3HMAA,LAX,ORD,202,1744,0
AA,2307,N505AA,OMA,DFW,91,583,0
AA,2363,N560AA,OKC,DFW,39,175,0
AS,81,N577AS,SEA,ANC,195,1448,0
AS,162,N792AS,FAI,ANC,44,261,0
AS,200,N767AS,SEA,SJC,99,697,0
AS,342,N440AS,,OAK,92,671,0
AS,406,N589AS,,SJC,82,569,0
AS,477,N453AS,,SEA,141,954,0
AS,631,N512AS,,SEA,151,1107,0
AS,683,N618AS,,SEA,137,1024,0
AS,699,N532AS,,SEA,42,224,0
B6,130,N510JB,,JFK,141,1074,0
B6,154,N536JB,,JFK,141,1028,0
B6,353,N570JB,,PBI,142,1028,0
B6,226,N648JB,,JFK,130,1005,0
B6,272,N556JB,,LGA,143,1076,0
B6,447,N527JB,OAK,LGB,60,353,0
B6,371,N708JB,LGA,FLL,150,1076,0
B6,583,N531JB,JFK,MCO,135,944,0
B6,605,N766JB,EWR,FLL,145,1065,0
B6,525,N645JB,JFK,TPA,157,1005,0
B6,746,N587JB,PSE,JFK,225,1617,0
B6,776,N236JB,MSY,JFK,140,1182,0
B6,794,N519JB,AUS,JFK,175,1521,0
B6,838,N715JB,BQN,JFK,225,1576,0
B6,892,N598JB,TPA,BOS,151,1185,0
B6,1678,N618JB,JAX,JFK,109,828,0
B6,1790,N203JB,DCA,BOS,62,399,0
DL,421,N967DL,JFK,ATL,117,760,0
DL,731,N323NB,LGA,DTW,97,502,0
DL,743,N341NW,RNO,SLC,68,422,0
DL,750,N995AT,BOS,JFK,44,187,0
DL,809,N931DN,BOS,MSP,186,1124,0
DL,904,N3748Y,LGA,ATL,111,762,0
DL,977,N988DL,ORD,ATL,80,606,0
,1088,N682DA,ANC,MSP,266,2519,0
,1098,N966AT,ATW,ATL,97,765,0
,1205,N612DL,PHX,ATL,169,1587,0
,1234,N912DE,PNS,ATL,41,271,0
,1235,N358NW,MCO,SLC,280,1931,0
,1462,N547AA,ONT,DFW,,1188,1
,913,N3JVAA,DCA,MIA,130,919,0
,1961,N947DN,RIC,ATL,75,481,0
,2154,N813DN,LAX,ATL,213,1947,0
,2282,N974DL,BOS,ATL,144,946,0
,2417,N554NW,LAS,DTW,,1749,0
DL,1540,N903DE,OKC,ATL,,761,0
DL,1574,N532US,MCO,MSP,,1310,0
DL,1700,N952DL,MEM,ATL,,332,0
DL,1867,N934AT,TUL,ATL,,674,0
DL,1937,N905DA,BWI,DTW,,409,0
B6,159,N193JB,BOS,PHL,,280,0
B6,198,N523JB,MCO,LGA,,950,0
B6,1502,,FLL,JFK,,1069,0
B6,1504,,SJU,JFK,248,1598,0
B6,1600,,BOS,DCA,72,399,0
EV,2533,,TYS,DFW,128,772,0
EV,4213,,MHT,ORD,153,843,0
EV,4431,,SAV,EWR,98,708,0
EV,4411,,MEM,EWR,120,946,0
EV,4756,,CLT,,109,599,0
EV,4768,N16987,TYS,,58,419,0
EV,4740,N11107,GRB,,34,173,0
EV,5103,N846AS,ABE,,84,425,0
EV,5275,N861AS,JAN,,51,341,0
EV,5491,N838AS,OAJ,,69,399,0
EV,5978,N21129,FAR,,78,557,0
EV,5917,N13997,JAN,,99,677,0
EV,6133,N12996,ERI,,79,398,0
EV,6082,N12122,ATW,,37,160,0
EV,6122,N16559,LEX,ORD,65,323,0
EV,6143,N12921,CWA,ORD,47,212,0
F9,865,,MSO,DEN,,679,1
F9,1256,,ORD,MIA,,1197,1
F9,1104,N211FR,CLE,FLL,142,1062,0
F9,1057,N919FR,IAH,SFO,237,1635,0
F9,144,N924FR,SEA,DEN,131,1024,0
F9,1056,N929FR,SFO,IAH,209,1635,0
F9,901,N939FR,TTN,ATL,109,701,0
F9,902,N949FR,ATL,TTN,98,701,0
HA,202,N491HA,HNL,ITO,36,216,0
MQ,2898,N514MQ,MAF,DFW,,309,1
MQ,2957,N504MQ,AMA,DFW,,312,1
MQ,2962,N609MQ,CLL,DFW,,164,1
MQ,3014,N908MQ,HOU,DFW,,247,1
MQ,3015,N825MQ,DFW,BTR,,383,1
MQ,3079,N646MQ,JLN,DFW,,327,1
